c,x,y,w,h,d,t
4,132,62,48,48,2020-03-03,00:23:50.943766
4,48,58,48,48,2020-03-03,00:23:50.943766
4,138,71,46,46,2020-03-03,00:23:51.086384
4,51,64,51,51,2020-03-03,00:23:51.086384
4,137,67,48,48,2020-03-03,00:23:51.175148
4,53,62,50,50,2020-03-03,00:23:51.175148
4,132,60,47,47,2020-03-03,00:23:51.257929
4,47,55,49,49,2020-03-03,00:23:51.257929
4,130,68,47,47,2020-03-03,00:23:51.365638
4,47,63,49,49,2020-03-03,00:23:51.365638
4,137,68,45,45,2020-03-03,00:23:51.540172
4,55,62,46,46,2020-03-03,00:23:51.540172
4,47,58,47,47,2020-03-03,00:23:51.660848
4,129,63,46,46,2020-03-03,00:23:51.660848
4,125,66,44,44,2020-03-03,00:23:51.779533
4,46,57,50,50,2020-03-03,00:23:51.779533
4,115,56,41,41,2020-03-03,00:23:51.914176
4,38,42,56,56,2020-03-03,00:23:51.914176
4,99,46,42,42,2020-03-03,00:23:52.034853
4,28,35,54,54,2020-03-03,00:23:52.034853
4,95,50,38,38,2020-03-03,00:23:52.152533
4,28,41,46,46,2020-03-03,00:23:52.152533
4,87,48,31,31,2020-03-03,00:23:52.317093
4,79,42,40,40,2020-03-03,00:23:52.440761
4,0,0,0,0,2020-03-03,00:23:52.558451
4,0,0,0,0,2020-03-03,00:23:52.696078
4,44,24,57,57,2020-03-03,00:23:52.801795
4,0,0,0,0,2020-03-03,00:23:52.906516
4,0,0,0,0,2020-03-03,00:23:53.020210
4,0,0,0,0,2020-03-03,00:23:53.100998
4,0,0,0,0,2020-03-03,00:23:53.201727
4,0,0,0,0,2020-03-03,00:23:53.311431
4,0,0,0,0,2020-03-03,00:23:53.409173
4,0,0,0,0,2020-03-03,00:23:53.517881
4,45,33,38,38,2020-03-03,00:23:53.629580
4,0,0,0,0,2020-03-03,00:23:53.718351
4,0,0,0,0,2020-03-03,00:23:53.838025
4,49,38,31,31,2020-03-03,00:23:53.930775
4,67,37,33,33,2020-03-03,00:23:54.011560
4,0,0,0,0,2020-03-03,00:23:54.098326
4,0,0,0,0,2020-03-03,00:23:54.172128
4,72,40,29,29,2020-03-03,00:23:54.273857
4,76,42,24,24,2020-03-03,00:23:54.370598
4,41,23,55,55,2020-03-03,00:23:54.370598
4,46,34,30,30,2020-03-03,00:23:54.458364
4,0,0,0,0,2020-03-03,00:23:54.535159
4,42,26,51,51,2020-03-03,00:23:54.670798
4,0,0,0,0,2020-03-03,00:23:54.759560
4,0,0,0,0,2020-03-03,00:23:54.849317
4,0,0,0,0,2020-03-03,00:23:54.939079
4,66,34,32,32,2020-03-03,00:23:55.023851
4,0,0,0,0,2020-03-03,00:23:55.128570
4,0,0,0,0,2020-03-03,00:23:55.206361
4,0,0,0,0,2020-03-03,00:23:55.290140
4,0,0,0,0,2020-03-03,00:23:55.370922
4,48,36,28,28,2020-03-03,00:23:55.472650
4,0,0,0,0,2020-03-03,00:23:55.563429
4,0,0,0,0,2020-03-03,00:23:55.651172
4,0,0,0,0,2020-03-03,00:23:55.768859
4,0,0,0,0,2020-03-03,00:23:55.853632
4,42,25,49,49,2020-03-03,00:23:55.933416
4,0,0,0,0,2020-03-03,00:23:56.009214
4,0,0,0,0,2020-03-03,00:23:56.086009
4,76,42,24,24,2020-03-03,00:23:56.187748
4,0,0,0,0,2020-03-03,00:23:56.267525
4,0,0,0,0,2020-03-03,00:23:56.347309
4,42,22,58,58,2020-03-03,00:23:56.422108
4,0,0,0,0,2020-03-03,00:23:56.514860
4,0,0,0,0,2020-03-03,00:23:56.609608
4,0,0,0,0,2020-03-03,00:23:56.689394
4,0,0,0,0,2020-03-03,00:23:56.817053
4,0,0,0,0,2020-03-03,00:23:56.892852
4,45,35,30,30,2020-03-03,00:23:56.986600
4,37,18,69,69,2020-03-03,00:23:57.075375
4,0,0,0,0,2020-03-03,00:23:57.147169
4,0,0,0,0,2020-03-03,00:23:57.225959
4,0,0,0,0,2020-03-03,00:23:57.310735
4,0,0,0,0,2020-03-03,00:23:57.401488
4,0,0,0,0,2020-03-03,00:23:57.491248
4,0,0,0,0,2020-03-03,00:23:57.577019
4,0,0,0,0,2020-03-03,00:23:57.651819
4,0,0,0,0,2020-03-03,00:23:57.739585
4,73,38,41,41,2020-03-03,00:23:57.916115
4,0,0,0,0,2020-03-03,00:23:58.021829
4,0,0,0,0,2020-03-03,00:23:58.116578
4,75,40,45,45,2020-03-03,00:23:58.220302
4,86,42,43,43,2020-03-03,00:23:58.333994
4,89,45,43,43,2020-03-03,00:23:58.435727
4,90,45,48,48,2020-03-03,00:23:58.528474
4,91,44,47,47,2020-03-03,00:23:58.663113
4,94,45,47,47,2020-03-03,00:23:58.779801
4,97,48,46,46,2020-03-03,00:23:58.892500
4,101,53,47,47,2020-03-03,00:23:59.000212
4,96,48,48,48,2020-03-03,00:23:59.113908
4,101,49,51,51,2020-03-03,00:23:59.250546
4,106,51,48,48,2020-03-03,00:23:59.334318
4,113,55,47,47,2020-03-03,00:23:59.444027
4,111,54,51,51,2020-03-03,00:23:59.539769
4,110,57,48,48,2020-03-03,00:23:59.628532
4,53,64,23,23,2020-03-03,00:23:59.713317
4,112,52,54,54,2020-03-03,00:23:59.713317
4,117,55,52,52,2020-03-03,00:23:59.790102
4,120,60,45,45,2020-03-03,00:23:59.901802
4,44,56,47,47,2020-03-03,00:23:59.901802
4,124,64,47,47,2020-03-03,00:24:00.001532
4,48,61,43,43,2020-03-03,00:24:00.001532
4,48,59,45,45,2020-03-03,00:24:00.158117
4,129,63,49,49,2020-03-03,00:24:00.158117
4,50,58,47,47,2020-03-03,00:24:00.286770
4,136,63,45,45,2020-03-03,00:24:00.286770
4,63,77,52,52,2020-03-03,00:24:00.391491
4,153,82,49,49,2020-03-03,00:24:00.391491
4,46,67,49,49,2020-03-03,00:24:00.482246
4,134,68,53,53,2020-03-03,00:24:00.482246
4,58,75,51,51,2020-03-03,00:24:00.580982
4,146,76,56,56,2020-03-03,00:24:00.580982
4,147,77,49,49,2020-03-03,00:24:00.714634
4,56,74,51,51,2020-03-03,00:24:00.714634
4,56,75,50,50,2020-03-03,00:24:00.854250
4,146,77,53,53,2020-03-03,00:24:00.854250
4,62,78,54,54,2020-03-03,00:24:00.963958
4,152,81,52,52,2020-03-03,00:24:00.963958
4,145,71,51,51,2020-03-03,00:24:01.092613
4,55,68,52,52,2020-03-03,00:24:01.092613
4,59,75,48,48,2020-03-03,00:24:01.196336
4,147,76,53,53,2020-03-03,00:24:01.196336
4,60,72,51,51,2020-03-03,00:24:01.295077
4,149,74,53,53,2020-03-03,00:24:01.295077
4,53,72,48,48,2020-03-03,00:24:01.393808
4,141,74,52,52,2020-03-03,00:24:01.393808
4,63,77,53,53,2020-03-03,00:24:01.557370
4,157,83,47,47,2020-03-03,00:24:01.557370
4,57,74,52,52,2020-03-03,00:24:01.668073
4,147,78,52,52,2020-03-03,00:24:01.668073
4,60,78,49,49,2020-03-03,00:24:01.775787
4,149,80,52,52,2020-03-03,00:24:01.775787
4,148,73,49,49,2020-03-03,00:24:01.898457
4,54,69,51,51,2020-03-03,00:24:01.898457
4,152,80,48,48,2020-03-03,00:24:02.000185
4,60,76,51,51,2020-03-03,00:24:02.000185
4,156,79,50,50,2020-03-03,00:24:02.103908
4,62,73,54,54,2020-03-03,00:24:02.104905
4,149,80,47,47,2020-03-03,00:24:02.234561
4,54,74,53,53,2020-03-03,00:24:02.234561
4,60,80,50,50,2020-03-03,00:24:02.352243
4,151,83,48,48,2020-03-03,00:24:02.352243
4,47,62,53,53,2020-03-03,00:24:02.434024
4,130,62,59,59,2020-03-03,00:24:02.434024
4,133,71,54,54,2020-03-03,00:24:02.523800
4,121,57,51,51,2020-03-03,00:24:02.603571
4,40,49,60,60,2020-03-03,00:24:02.603571
4,108,53,51,51,2020-03-03,00:24:02.699315
4,0,0,0,0,2020-03-03,00:24:03.969915
4,0,0,0,0,2020-03-03,00:24:04.063665
4,0,0,0,0,2020-03-03,00:24:04.684007
4,0,0,0,0,2020-03-03,00:24:04.807674
4,0,0,0,0,2020-03-03,00:24:04.911397
4,0,0,0,0,2020-03-03,00:24:05.135796
4,0,0,0,0,2020-03-03,00:24:05.262461
4,0,0,0,0,2020-03-03,00:24:05.372164
4,0,0,0,0,2020-03-03,00:24:05.491844
4,0,0,0,0,2020-03-03,00:24:05.593572
4,0,0,0,0,2020-03-03,00:24:05.693308
4,0,0,0,0,2020-03-03,00:24:05.802014
4,0,0,0,0,2020-03-03,00:24:05.910724
4,45,27,66,66,2020-03-03,00:24:05.987518
4,105,52,21,21,2020-03-03,00:24:06.111186
4,0,0,0,0,2020-03-03,00:24:06.198951
4,91,44,20,20,2020-03-03,00:24:06.295699
4,0,0,0,0,2020-03-03,00:24:08.800989
4,0,0,0,0,2020-03-03,00:24:08.894739
4,0,0,0,0,2020-03-03,00:24:08.977527
4,0,0,0,0,2020-03-03,00:24:09.072269
4,0,0,0,0,2020-03-03,00:24:09.152052
4,0,0,0,0,2020-03-03,00:24:09.235828
4,0,0,0,0,2020-03-03,00:24:10.194262
4,0,0,0,0,2020-03-03,00:24:10.524380
4,0,0,0,0,2020-03-03,00:24:10.705895
4,0,0,0,0,2020-03-03,00:24:11.132752
4,0,0,0,0,2020-03-03,00:24:11.236475
4,0,0,0,0,2020-03-03,00:24:11.733145
4,0,0,0,0,2020-03-03,00:24:12.307609
4,0,0,0,0,2020-03-03,00:24:16.716812
4,0,0,0,0,2020-03-03,00:24:16.821547
4,0,0,0,0,2020-03-03,00:24:16.916279
4,0,0,0,0,2020-03-03,00:24:17.035960
4,62,56,30,30,2020-03-03,00:24:17.140678
4,0,0,0,0,2020-03-03,00:24:17.241410
4,64,57,22,22,2020-03-03,00:24:17.342139
4,52,50,31,31,2020-03-03,00:24:17.478774
4,0,0,0,0,2020-03-03,00:24:17.640341
